Estacion,Linea,Transborde,Coordenadas,Color
BUENAVISTA,B,-  ,"19.44616605852739, -99.15234729193156",#274e13
GUERRERO,B,LINEA 3,"19.444746242800605, -99.14519031550479",#274e13
GARIBALDI,B,LINEA 8,"19.44375114452902, -99.1385520804533",#274e13
LAGUNILLA,B,-  ,"19.44337313722006, -99.13180574978081",#274e13
TEPITO,B,-  ,"19.442819954218557, -99.1241110218661",#274e13
MORELOS,B,LINEA 4,"19.43969382819857, -99.11808659967339",#274e13
SAN LAZARO,B,LINEA 1,"19.43112004184689, -99.11414018439925",#274e13
FLORES MAGON,B,-  ,"19.436512175114967, -99.10361216263034",#274e13
ROMERO RUBIO,B,-  ,"19.440783024902842, -99.09416435214084",#274e14
OCEANIA ,B,LINEA 5 ,"19.450983025135738, -99.07932618006804",#274e15
DEPORTIVO OCEANIA,B,-  ,"19.458051465739274, -99.06925503219458",#274e16
BOSQUE DE ARAGON,B,-  ,"19.45813311044286, -99.06936583407162",#274e17
VILLA DE ARAGON ,B,-  ,"19.461718365920383, -99.06131022918746",#274e18
NEZAHUALCOYOTL,B,-  ,"19.472600184629748, -99.05471077205473",#274e19
IMPULSORA,B,-  ,"19.485517068217433, -99.04909685544837",#274e20
RIO DE LOS REMEDIOS,B,-  ,"19.4909888396029, -99.04661849442132",#274e21
MUZQUIZ,B,-  ,"19.501224768113, -99.04213470216439",#274e22
ECATEPEC,B,-  ,"19.51540280299294, -99.03583700668662",#274e23
OLIMPICA,B,-  ,"19.52138100888812, -99.0333237583239",#274e24
PLAZA ARAGON,B,-  ,"19.528376715010012, -99.03019659691822",#274e25
CIUDAD AZTECA,B,-  ,"19.534787387214497, -99.02735345542239",#274e26
OBSERVATORIO,1,-  ,"19.398191123487997, -99.20025390237181",#ed72c8
TACUBAYA,1,"LINEA 7,9","19.401922412174184, -99.18734946395818",#ed72c9
JUANACATLAN,1,-  ,"19.412931641528314, -99.1820096685471",#ed72c10
CHAPULTEPEC,1,-  ,"19.420610924600066, -99.17692152187905",#ed72c11
SEVILLA,1,-  ,"19.42155374337715, -99.17105031880837",#ed72c12
INSURGENTES,1,-  ,"19.42363315902518, -99.16330172415394",#ed72c13
CUAUHTEMOC,1,-  ,"19.425804622643373, -99.15471242521808",#ed72c14
BALDERAS,1,LINEA 3,"19.427218478319578, -99.14887340761946",#ed72c15
SALTO DEL AGUA,1,LINEA 8,"19.427202512181264, -99.14207160339446",#ed72c16
ISABEL LA CATOLICA,1,-  ,"19.426080934411086, -99.13793552121267",#ed72c17
PINO SUAREZ,1,,"19.425866140386454, -99.13302577674824",#ed72c18
MERCED,1,,"19.425600148570446, -99.12523596152488",#ed72c19
CANDELARIA ,1,,"19.429395211821838, -99.12116443033447",#ed72c20
SAN LAZARO,1,,"19.43112004184689, -99.11414018439925",#ed72c21
MOCTEZUMA ,1,,"19.4271594300208, -99.11043201072341",#ed72c22
BALBUENA,1,,"19.423173520653, -99.10281082993345",#ed72c23
BOULEVARD. PTO AEREO ,1,,"19.4195691567328, -99.0966734188627",#ed72c24
GOMEZ FARIAS ,1,,"19.416346363539112, -99.09010886163674",#ed72c25
ZARAGOZA,1,,"19.41210891541401, -99.08253809687702",#ed72c26
PANTITLAN ,1,,"19.415040707086533, -99.0741168053671",#ed72c27
